timestamp,node_633,node_632,node_650,node_680,node_684,node_634,node_645,node_646,node_652,node_671,node_692
2000-01-01 00:00:00 PST,-1209.88+2200.91j,-1209.88+2200.91j,-1200.89+2080j,-1145.94+2180.73j,-1138.37+2179.43j,-139.601+253.951j,-1209.88+2200.91j,-1209.88+2200.91j,+0+0j,-1145.94+2180.73j,-1145.94+2180.73j
2000-01-01 01:00:00 PST,-1209.88+2200.91j,-1209.88+2200.91j,-1200.89+2080j,-1145.94+2180.73j,-1138.37+2179.43j,-139.601+253.951j,-1209.88+2200.91j,-1209.88+2200.91j,+0+0j,-1145.94+2180.73j,-1145.94+2180.73j
2000-01-01 02:00:00 PST,-1210.03+2201.24j,-1210.03+2201.24j,-1200.89+2080j,-1146.09+2181.07j,-1138.53+2179.77j,-139.619+253.989j,-1210.07+2201.33j,-1210.09+2201.39j,+0+0j,-1146.09+2181.07j,-1146.09+2181.07j
2000-01-01 03:00:00 PST,-1209.88+2200.91j,-1209.88+2200.91j,-1200.89+2080j,-1145.94+2180.73j,-1138.37+2179.43j,-139.601+253.951j,-1209.88+2200.91j,-1209.88+2200.91j,+0+0j,-1145.94+2180.73j,-1145.94+2180.73j
2000-01-01 04:00:00 PST,-1209.88+2200.91j,-1209.88+2200.91j,-1200.89+2080j,-1145.94+2180.73j,-1138.37+2179.43j,-139.601+253.951j,-1209.88+2200.91j,-1209.88+2200.91j,+0+0j,-1145.94+2180.73j,-1145.94+2180.73j
2000-01-01 05:00:00 PST,-1210.09+2200.63j,-1210.05+2200.7j,-1200.89+2080j,-1146.12+2180.52j,-1138.56+2179.22j,-139.626+253.919j,-1210.05+2200.7j,-1210.05+2200.7j,+0+0j,-1146.12+2180.52j,-1146.12+2180.52j
2000-01-01 06:00:00 PST,-1211.65+2199.77j,-1211.63+2199.81j,-1200.89+2080j,-1148.74+2177.83j,-1141.23+2176.44j,-139.805+253.819j,-1211.82+2200.07j,-1211.88+2200.17j,+0+0j,-1148.74+2177.83j,-1148.74+2177.83j
2000-01-01 07:00:00 PST,-1211.31+2200.38j,-1211.3+2200.42j,-1200.89+2080j,-1148.07+2179.06j,-1140.5+2177.76j,-139.767+253.89j,-1211.48+2200.68j,-1211.55+2200.78j,+0+0j,-1148.07+2179.06j,-1148.07+2179.06j
2000-01-01 08:00:00 PST,-1210.22+2200.44j,-1210.21+2200.49j,-1200.89+2080j,-1146.54+2180.02j,-1138.97+2178.72j,-139.641+253.897j,-1210.21+2200.49j,-1210.21+2200.49j,+0+0j,-1146.54+2180.02j,-1146.54+2180.02j
2000-01-01 09:00:00 PST,-1209.96+2200.73j,-1209.94+2200.77j,-1200.89+2080j,-1146.01+2180.58j,-1138.44+2179.29j,-139.611+253.93j,-1209.94+2200.77j,-1209.94+2200.77j,+0+0j,-1146.01+2180.58j,-1146.01+2180.58j
2000-01-01 10:00:00 PST,-1209.96+2200.73j,-1209.94+2200.77j,-1200.89+2080j,-1146.01+2180.58j,-1138.44+2179.29j,-139.611+253.93j,-1209.94+2200.77j,-1209.94+2200.77j,+0+0j,-1146.01+2180.58j,-1146.01+2180.58j
