timestamp,node_633,node_632,node_650,node_680,node_684,node_634,node_645,node_646,node_652,node_671,node_692
2000-01-01 00:00:00 PST,+2550.61-73.686j,+2550.61-73.686j,+2401.78+0i,+2546.94-147.519j,+2548.94-147.142j,+294.301-8.50223j,+0+0j,+0+0j,+2548.94-147.142j,+2546.94-147.519j,+2546.94-147.519j
2000-01-01 01:00:00 PST,+2550.61-73.686j,+2550.61-73.686j,+2401.78+0i,+2546.94-147.519j,+2548.94-147.142j,+294.301-8.50223j,+0+0j,+0+0j,+2548.94-147.142j,+2546.94-147.519j,+2546.94-147.519j
2000-01-01 02:00:00 PST,+2550.4-73.3031j,+2550.4-73.3031j,+2401.78+0i,+2546.73-147.13j,+2548.74-146.753j,+294.277-8.45805j,+0+0j,+0+0j,+2548.74-146.753j,+2546.73-147.13j,+2546.73-147.13j
2000-01-01 03:00:00 PST,+2550.61-73.686j,+2550.61-73.686j,+2401.78+0i,+2546.94-147.519j,+2548.94-147.142j,+294.301-8.50223j,+0+0j,+0+0j,+2548.94-147.142j,+2546.94-147.519j,+2546.94-147.519j
2000-01-01 04:00:00 PST,+2550.61-73.686j,+2550.61-73.686j,+2401.78+0i,+2546.94-147.519j,+2548.94-147.142j,+294.301-8.50223j,+0+0j,+0+0j,+2548.94-147.142j,+2546.94-147.519j,+2546.94-147.519j
2000-01-01 05:00:00 PST,+2550.06-74.3524j,+2550.21-74.214j,+2401.78+0i,+2546.51-148.049j,+2548.52-147.672j,+294.137-8.6809j,+0+0j,+0+0j,+2548.52-147.672j,+2546.51-148.049j,+2546.51-148.049j
2000-01-01 06:00:00 PST,+2547.13-77.6508j,+2547.2-77.5522j,+2401.78+0i,+2541.15-155.899j,+2542.83-155.806j,+293.856-9.03037j,+0+0j,+0+0j,+2542.15-155.862j,+2541.15-155.899j,+2541.15-155.899j
2000-01-01 07:00:00 PST,+2547.91-76.1457j,+2547.98-76.0471j,+2401.78+0i,+2542.71-152.888j,+2544.72-152.508j,+293.947-8.85675j,+0+0j,+0+0j,+2544.72-152.508j,+2542.71-152.888j,+2542.71-152.888j
2000-01-01 08:00:00 PST,+2549.78-74.8466j,+2549.85-74.7478j,+2401.78+0i,+2545.55-149.298j,+2547.56-148.92j,+294.162-8.70693j,+0+0j,+0+0j,+2547.56-148.92j,+2545.55-149.298j,+2545.55-149.298j
2000-01-01 09:00:00 PST,+2550.39-74.1302j,+2550.46-74.0315j,+2401.78+0i,+2546.77-147.865j,+2548.78-147.487j,+294.233-8.6243j,+0+0j,+0+0j,+2548.78-147.487j,+2546.77-147.865j,+2546.77-147.865j
2000-01-01 10:00:00 PST,+2550.39-74.1302j,+2550.46-74.0315j,+2401.78+0i,+2546.77-147.865j,+2548.78-147.487j,+294.233-8.6243j,+0+0j,+0+0j,+2548.78-147.487j,+2546.77-147.865j,+2546.77-147.865j
2000-01-01 11:00:00 PST,+2550.61-73.686j,+2550.61-73.686j,+2401.78+0i,+2546.94-147.519j,+2548.94-147.142j,+294.301-8.50223j,+0+0j,+0+0j,+2548.94-147.142j,+2546.94-147.519j,+2546.94-147.519j
2000-01-01 12:00:00 PST,+2550.61-73.686j,+2550.61-73.686j,+2401.78+0i,+2546.94-147.519j,+2548.94-147.142j,+294.301-8.50223j,+0+0j,+0+0j,+2548.94-147.142j,+2546.94-147.519j,+2546.94-147.519j
2000-01-01 13:00:00 PST,+2550.61-73.686j,+2550.61-73.686j,+2401.78+0i,+2546.94-147.519j,+2548.94-147.142j,+294.301-8.50223j,+0+0j,+0+0j,+2548.94-147.142j,+2546.94-147.519j,+2546.94-147.519j
2000-01-01 14:00:00 PST,+2550.61-73.686j,+2550.61-73.686j,+2401.78+0i,+2546.94-147.519j,+2548.94-147.142j,+294.301-8.50223j,+0+0j,+0+0j,+2548.94-147.142j,+2546.94-147.519j,+2546.94-147.519j
2000-01-01 15:00:00 PST,+2550.61-73.686j,+2550.61-73.686j,+2401.78+0i,+2546.94-147.519j,+2548.94-147.142j,+294.301-8.50223j,+0+0j,+0+0j,+2548.94-147.142j,+2546.94-147.519j,+2546.94-147.519j
2000-01-01 16:00:00 PST,+2550.45-73.3917j,+2550.45-73.3917j,+2401.78+0i,+2546.78-147.22j,+2548.78-146.843j,+294.283-8.46828j,+0+0j,+0+0j,+2548.78-146.843j,+2546.78-147.22j,+2546.78-147.22j
2000-01-01 17:00:00 PST,+2550.04-74.3781j,+2550.2-74.2344j,+2401.78+0i,+2546.49-148.07j,+2548.5-147.692j,+294.131-8.6878j,+0+0j,+0+0j,+2548.5-147.692j,+2546.49-148.07j,+2546.49-148.07j
2000-01-01 18:00:00 PST,+2549.26-74.8192j,+2549.42-74.6755j,+2401.78+0i,+2545.09-149.239j,+2546.88-148.974j,+294.04-8.7387j,+0+0j,+0+0j,+2546.51-148.918j,+2545.09-149.239j,+2545.09-149.239j
2000-01-01 19:00:00 PST,+2547.13-77.6508j,+2547.2-77.5522j,+2401.78+0i,+2541.15-155.899j,+2542.83-155.806j,+293.856-9.03037j,+0+0j,+0+0j,+2542.15-155.862j,+2541.15-155.899j,+2541.15-155.899j
2000-01-01 20:00:00 PST,+2547.13-77.6508j,+2547.2-77.5522j,+2401.78+0i,+2541.15-155.899j,+2542.83-155.806j,+293.856-9.03037j,+0+0j,+0+0j,+2542.15-155.862j,+2541.15-155.899j,+2541.15-155.899j
2000-01-01 21:00:00 PST,+2548.39-77.0712j,+2548.46-76.9726j,+2401.78+0i,+2542.76-153.748j,+2544.56-153.479j,+294.001-8.96354j,+0+0j,+0+0j,+2544.2-153.423j,+2542.76-153.748j,+2542.76-153.748j
2000-01-01 22:00:00 PST,+2550.39-74.1302j,+2550.46-74.0315j,+2401.78+0i,+2546.77-147.865j,+2548.78-147.487j,+294.233-8.6243j,+0+0j,+0+0j,+2548.78-147.487j,+2546.77-147.865j,+2546.77-147.865j
2000-01-01 23:00:00 PST,+2550.39-74.1302j,+2550.46-74.0315j,+2401.78+0i,+2546.77-147.865j,+2548.78-147.487j,+294.233-8.6243j,+0+0j,+0+0j,+2548.78-147.487j,+2546.77-147.865j,+2546.77-147.865j
2000-01-02 00:00:00 PST,+2550.39-74.1302j,+2550.46-74.0315j,+2401.78+0i,+2546.77-147.865j,+2548.78-147.487j,+294.233-8.6243j,+0+0j,+0+0j,+2548.78-147.487j,+2546.77-147.865j,+2546.77-147.865j
2000-01-02 01:00:00 PST,+2550.24-73.847j,+2550.31-73.7482j,+2401.78+0i,+2546.62-147.577j,+2548.62-147.2j,+294.215-8.59161j,+0+0j,+0+0j,+2548.62-147.2j,+2546.62-147.577j,+2546.62-147.577j
2000-01-02 02:00:00 PST,+2549.79-74.836j,+2549.86-74.7372j,+2401.78+0i,+2545.57-149.277j,+2547.37-149.007j,+294.163-8.7057j,+0+0j,+0+0j,+2547.01-148.953j,+2545.57-149.277j,+2545.57-149.277j
2000-01-02 03:00:00 PST,+2549.42-74.1782j,+2549.49-74.0794j,+2401.78+0i,+2545.19-148.62j,+2546.99-148.352j,+294.12-8.6298j,+0+0j,+0+0j,+2546.63-148.297j,+2545.19-148.62j,+2545.19-148.62j
